INGENIERIA CUBICA SAS (SIMULADO PARA PRUEBAS)
NIT 900.555.111-3
BALANCE DE PRUEBA
De Enero 1 a Junio 30 de 2026 — al mayor nivel de cuentas, sin terceros

Código cuenta contable;Nombre cuenta contable;Saldo inicial;Movimiento débito;Movimiento crédito;Saldo final
1;ACTIVO;185000000;96000000;74000000;207000000
11;DISPONIBLE;42000000;61000000;55000000;48000000
1105;CAJA;3000000;8000000;9000000;2000000
110505;Caja general;2500000;7500000;8500000;1500000
110510;Cajas menores;500000;500000;500000;500000
1110;BANCOS;39000000;53000000;46000000;46000000
111005;Bancos nacionales;30000000;40000000;35000000;35000000
111006;Bancos cooperativos;9000000;13000000;11000000;11000000
13;DEUDORES;68000000;20000000;12000000;76000000
1305;CLIENTES;52000000;18000000;10000000;60000000
130505;Clientes nacionales;52000000;18000000;10000000;60000000
1355;ANTICIPO DE IMPUESTOS;6000000;2000000;0;8000000
135515;Retención en la fuente;4000000;1500000;0;5500000
135518;ICA retenido;2000000;500000;0;2500000
15;PROPIEDADES PLANTA Y EQUIPO;75000000;15000000;7000000;83000000
1528;EQUIPO DE COMPUTACION Y COMUNICACION;25000000;15000000;0;40000000
152805;Equipos de procesamiento de datos;25000000;15000000;0;40000000
1592;DEPRECIACION ACUMULADA;-12000000;0;7000000;-19000000
159220;Equipo de computación y comunicación;-12000000;0;7000000;-19000000
2;PASIVO;96000000;30000000;44000000;110000000
22;PROVEEDORES;38000000;22000000;30000000;46000000
2205;NACIONALES;38000000;22000000;30000000;46000000
220505;Proveedores nacionales;38000000;22000000;30000000;46000000
23;CUENTAS POR PAGAR;30000000;6000000;9000000;33000000
2365;RETENCION EN LA FUENTE;4200000;4200000;5100000;5100000
236515;Honorarios;1800000;1800000;2300000;2300000
236525;Servicios;1400000;1400000;1600000;1600000
236540;Compras;1000000;1000000;1200000;1200000
24;IMPUESTOS GRAVAMENES Y TASAS;15000000;2000000;5000000;18000000
2408;IMPUESTO SOBRE LAS VENTAS POR PAGAR;15000000;2000000;5000000;18000000
240801;IVA generado;15000000;2000000;5000000;18000000
240802;IVA descontable;0;0;0;0
3;PATRIMONIO;89000000;0;8000000;97000000
31;CAPITAL SOCIAL;50000000;0;0;50000000
3105;CAPITAL SUSCRITO Y PAGADO;50000000;0;0;50000000
310505;Capital autorizado;50000000;0;0;50000000
4;INGRESOS;0;4000000;160000000;156000000
41;OPERACIONALES;0;4000000;158000000;154000000
4155;ACTIVIDADES EMPRESARIALES Y DE ALQUILER;0;4000000;158000000;154000000
415505;Servicios de ingeniería;0;4000000;158000000;154000000
5;GASTOS;0;92000000;3000000;89000000
51;OPERACIONALES DE ADMINISTRACION;0;78000000;3000000;75000000
5105;GASTOS DE PERSONAL;0;46000000;0;46000000
510506;Sueldos;0;34000000;0;34000000
510527;Auxilio de transporte;0;2500000;0;2500000
510569;Aportes EPS;0;4500000;0;4500000
510570;Aportes fondos de pensiones;0;5000000;0;5000000
5110;HONORARIOS;0;18000000;0;18000000
511025;Asesoría jurídica;0;4000000;0;4000000
511035;ASESORIA TECNICA;0;14000000;0;14000000
51103505;Asesoría técnica ingeniería;0;9000000;0;9000000
51103510;Asesoría técnica sistemas;0;5000000;0;5000000
5135;SERVICIOS;0;9000000;3000000;6000000
513530;Energía eléctrica;0;2000000;0;2000000
513535;Teléfono e internet;0;1500000;0;1500000
51353501;Internet fibra oficina principal;0;900000;0;900000
5195;DIVERSOS;0;5000000;0;5000000
519530;Útiles, papelería y fotocopias;0;1200000;0;1200000
53;NO OPERACIONALES;0;14000000;0;14000000
5305;FINANCIEROS;0;14000000;0;14000000
530505;Gastos bancarios;0;800000;0;800000
530595;GMF 4x1000;0;600000;0;600000
6;COSTOS DE VENTAS;0;52000000;0;52000000
61;COSTO DE VENTAS Y PRESTACION DE SERVICIOS;0;52000000;0;52000000
6155;ACTIVIDADES EMPRESARIALES;0;52000000;0;52000000
615505;Costo servicios de ingeniería;0;52000000;0;52000000
